Departamento,Canal,Marca,Origem Tráfego,Visita,Mês/Ano
PCS,1P,SHOP,AFILIADOS,9731.551776078002,9/2021
PCS,1P,ACOM,AFILIADOS,91359.63184795198,6/2020
PCS,1P,SUBA,BUSCA ORGANICA,16194.592154879998,10/2020
PCS,3P,SOUB,BUSCA ORGANICA,687.620596896,4/2021
PCS,3P,ACOM,BUSCA PPC,1249233.888381024,11/2021
PCS,1P,SUBA,TRAFEGO DIRETO,55301.612985231,12/2020
PCS,1P,SUBA,COMPARADORES,13035.830690652,11/2021
PCS,3P,SOUB,TRAFEGO DIRETO,636.458174484,10/2021
PCS,1P,SUBA,BUSCA PPC,37678.954331928,8/2021
PCS,1P,SUBA,BUSCA ORGANICA,47034.537899147996,5/2020
PCS,1P,SOUB,BUSCA PPC,1574.1793976760002,9/2021
PCS,1P,SHOP,AFILIADOS,6491.30149356,3/2021
PCS,3P,SHOP,BUSCA PPC,81437.91280953599,5/2020
PCS,3P,B2B,COMPARADORES,5.6606312,3/2022
PCS,3P,SOUB,COMPARADORES,1.0043658779999998,1/2021
PCS,1P,SHOP,TRAFEGO DIRETO,45089.18093850299,6/2020
PCS,3P,ACOM,BUSCA ORGANICA,186998.06199153897,5/2021
PCS,3P,ACOM,COMPARADORES,46943.98553367899,6/2021
PCS,3P,SUBA,BUSCA PPC,143454.381819216,9/2020
PCS,3P,ACOM,TRAFEGO DIRETO,440224.33481598,8/2020
PCS,1P,SUBA,BUSCA ORGANICA,22936.719537228,11/2021
PCS,1P,SHOP,COMPARADORES,20674.290123648003,4/2021
PCS,1P,SHOP,TRAFEGO DIRETO,41408.207863632,4/2021
PCS,3P,SUBA,BUSCA ORGANICA,24807.977330676,7/2021
PCS,1P,ACOM,TRAFEGO DIRETO,313500.43925899203,4/2021
PCS,3P,ACOM,TRAFEGO DIRETO,273081.58095855,5/2021
PCS,1P,SHOP,BUSCA ORGANICA,18048.771995832,4/2021
PCS,1P,ACOM,COMPARADORES,73700.55018792,4/2020
PCS,1P,B2B,TRAFEGO DIRETO,3022.468187228,2/2022
PCS,1P,SOUB,TRAFEGO DIRETO,13924.319545811999,8/2021
PCS,1P,SOUB,AFILIADOS,6613.11619962,11/2021
PCS,1P,SOUB,BUSCA ORGANICA,2003.7170067319998,1/2022
PCS,3P,ACOM,TRAFEGO DIRETO,188330.619479517,7/2021
PCS,1P,SHOP,BUSCA ORGANICA,9054.74566752,4/2022
PCS,1P,SOUB,AFILIADOS,62.930300120999995,6/2020
PCS,1P,SHOP,AFILIADOS,14812.065370704,4/2022
PCS,3P,SUBA,COMPARADORES,45561.755830506,9/2020
PCS,3P,SHOP,AFILIADOS,3163.314872796,8/2021
PCS,3P,SOUB,BUSCA PPC,4.373539547999999,10/2020
PCS,1P,B2B,COMPARADORES,13.334478191999999,4/2022
PCS,3P,SHOP,AFILIADOS,16736.364701577,7/2020
PCS,3P,ACOM,TRAFEGO DIRETO,193033.89216476402,9/2021
PCS,1P,SUBA,TRAFEGO DIRETO,82505.41444056599,6/2020
PCS,1P,SHOP,AFILIADOS,8464.34183336,3/2022
PCS,3P,ACOM,BUSCA ORGANICA,136595.26595681696,1/2021
PCS,3P,SUBA,COMPARADORES,16459.088237748,8/2021
PCS,1P,SOUB,BUSCA ORGANICA,4798.463090202,7/2021
PCS,1P,SUBA,AFILIADOS,40950.02378384399,1/2022
PCS,1P,SUBA,AFILIADOS,32231.734874900998,7/2020
PCS,3P,SHOP,TRAFEGO DIRETO,16237.075434684,8/2021
PCS,3P,SHOP,COMPARADORES,8310.554789376,4/2022
PCS,3P,SHOP,BUSCA PPC,151319.02221805198,8/2020
PCS,1P,SUBA,BUSCA ORGANICA,20679.53692116,8/2021
PCS,3P,ACOM,TRAFEGO DIRETO,265288.49343636597,12/2021
PCS,3P,SHOP,BUSCA PPC,6981.6176714580015,9/2021
PCS,1P,B2B,BUSCA PPC,2397.919671784,2/2022
PCS,1P,SUBA,TRAFEGO DIRETO,62726.62843525801,9/2021
PCS,1P,SHOP,BUSCA ORGANICA,8223.11895706,2/2022
PCS,1P,B2B,BUSCA ORGANICA,467.31656809200007,9/2021
PCS,3P,SUBA,BUSCA PPC,116876.01468441899,5/2021
PCS,1P,ACOM,BUSCA ORGANICA,96901.838879109,7/2021
PCS,1P,SHOP,BUSCA PPC,9725.517543713999,1/2022
PCS,1P,SHOP,BUSCA PPC,60027.243248532,11/2020
PCS,3P,SHOP,AFILIADOS,15579.210202451999,8/2020
PCS,3P,SOUB,TRAFEGO DIRETO,798.3590036159999,12/2021
PCS,3P,SHOP,AFILIADOS,12972.205220724,9/2020
PCS,3P,SOUB,TRAFEGO DIRETO,267.737847768,4/2020
PCS,1P,SOUB,AFILIADOS,3812.44748082,10/2021
PCS,1P,ACOM,COMPARADORES,62202.979957865995,7/2020
PCS,3P,SUBA,BUSCA PPC,230967.84608582998,1/2022
PCS,1P,ACOM,BUSCA ORGANICA,121271.72554594498,12/2020
PCS,3P,SUBA,COMPARADORES,37790.27052562799,1/2021
PCS,3P,SUBA,BUSCA PPC,241562.23659630597,2/2021
PCS,1P,SUBA,BUSCA PPC,119585.76694318799,6/2020
PCS,3P,SHOP,BUSCA PPC,22116.819519312,4/2022
PCS,1P,SUBA,TRAFEGO DIRETO,95381.704077408,11/2021
PCS,3P,ACOM,AFILIADOS,181557.262666332,11/2021
PCS,3P,ACOM,AFILIADOS,57523.66896998399,1/2022
PCS,1P,ACOM,BUSCA ORGANICA,102092.28494988297,1/2021
PCS,1P,SOUB,BUSCA ORGANICA,2267.116864122,9/2021
PCS,1P,SOUB,COMPARADORES,50.086755161999996,2/2021
PCS,3P,ACOM,TRAFEGO DIRETO,403328.734192296,4/2020
PCS,1P,ACOM,COMPARADORES,15405.767137824,4/2022
PCS,3P,ACOM,COMPARADORES,88210.755447276,11/2021
PCS,1P,SOUB,COMPARADORES,0.0,7/2020
PCS,1P,SOUB,TRAFEGO DIRETO,2849.643914616,4/2020
PCS,1P,B2B,COMPARADORES,11.481979560000003,9/2021
PCS,1P,SHOP,COMPARADORES,17927.401395036,11/2020
PCS,3P,SOUB,AFILIADOS,37.505582018999995,12/2020
PCS,3P,SOUB,AFILIADOS,276.684974046,6/2021
PCS,1P,SHOP,BUSCA ORGANICA,7950.55783158,8/2021
PCS,1P,SHOP,TRAFEGO DIRETO,21297.382978883998,2/2021
PCS,3P,B2B,BUSCA ORGANICA,1476.880830376,2/2022
PCS,3P,B2B,BUSCA PPC,2137.949031064,2/2022
PCS,1P,SUBA,TRAFEGO DIRETO,30504.985842825,7/2021
PCS,3P,SUBA,BUSCA ORGANICA,27460.770398544,4/2022
PCS,3P,SHOP,BUSCA PPC,72098.487255582,9/2020
PCS,3P,SOUB,TRAFEGO DIRETO,532.3139153399999,1/2021
PCS,3P,SHOP,BUSCA PPC,21819.182400521997,6/2021
PCS,3P,SOUB,BUSCA ORGANICA,506.68230144,3/2021
PCS,3P,SUBA,COMPARADORES,20391.270161231998,12/2020
PCS,1P,SUBA,AFILIADOS,28722.60877192,3/2022
PCS,1P,SUBA,AFILIADOS,33833.128100616,8/2020
PCS,1P,SUBA,TRAFEGO DIRETO,50581.167480785996,12/2021
PCS,1P,SHOP,COMPARADORES,6750.988466387999,12/2021
PCS,3P,SUBA,COMPARADORES,24097.87308152,3/2022
PCS,3P,B2B,AFILIADOS,29.789221488,10/2021
PCS,3P,SUBA,COMPARADORES,37372.258111617,6/2020
PCS,1P,ACOM,AFILIADOS,123652.745770596,11/2020
PCS,3P,SUBA,BUSCA PPC,122145.09018902399,4/2022
PCS,1P,ACOM,BUSCA ORGANICA,105946.07172856001,3/2022
PCS,1P,SUBA,BUSCA PPC,51342.185865264,4/2022
PCS,3P,SUBA,AFILIADOS,11456.591354232,7/2021
PCS,3P,B2B,BUSCA PPC,1840.5613234680004,9/2021
PCS,1P,SOUB,BUSCA ORGANICA,9713.867191820998,6/2021
PCS,3P,SHOP,BUSCA ORGANICA,7748.787856827,7/2021
PCS,3P,SUBA,BUSCA PPC,254724.41637290697,6/2020
PCS,1P,SHOP,COMPARADORES,4038.1009973789996,12/2020
PCS,1P,ACOM,TRAFEGO DIRETO,175396.511818986,9/2020
